"Path","InRepoA","InRepoB","A_FullPath","B_FullPath","A_LastWrite","B_LastWrite","A_Size","B_Size","A_Hash","B_Hash"
"build.ps1","True","False","C:\development\forensic_tracer_installer_project_root\build.ps1",,"23/02/2026 12:32:44 PM",,"2663",,"C25DCC8F7E439CBE15817CA59DDBF9DFDB07C99DC3ECA8527EA9CE4EFF796FA6",
"chains.json","True","True","C:\development\forensic_tracer_installer_project_root\chains.json","C:\development\forensic_suite_v2\chains.json","23/02/2026 12:32:44 PM","19/02/2026 2:39:42 AM","414","433","67A1E0B7FF021F7603A7065A778AAA6BFABA673F4734B8E1A0361EA38A9A9113","9DF0EA14EE3DC58EC32790B78C3E0D1882D87770C4E261A97F656E4149889FBA"
"Confirming_that_files_are_updated_after_a_new_build_+_redeployment.md","True","False","C:\development\forensic_tracer_installer_project_root\Confirming_that_files_are_updated_after_a_new_build_+_redeployment.md",,"24/02/2026 1:58:42 PM",,"3982",,"BEDCC3A42AE98F5714B14EB21DCA154312D0EA29BB22A08B683FF71A848299C3",
"COPILOT_INSTRUCTIONS.md","True","True","C:\development\forensic_tracer_installer_project_root\COPILOT_INSTRUCTIONS.md","C:\development\forensic_suite_v2\COPILOT_INSTRUCTIONS.md","23/02/2026 12:32:44 PM","19/02/2026 2:45:21 AM","891","912","C7223AB7D8B2455B993B8DE0A3CE5E0E52175A0950A1A9AE8187D050BBAB68B5","78533976512729D11621BEA748CFC570F9DE47E587518A5AE5D03B41C3D6ED95"
"dashboards\orchestrator.html","True","False","C:\development\forensic_tracer_installer_project_root\dashboards\orchestrator.html",,"23/02/2026 12:32:44 PM",,"3352",,"5F61ACE10DEFFEED59C03E729E450EF32E1A7ADAB0444FF9AF3C60082CD8ED3B",
"deploy_suite.ps1","True","True","C:\development\forensic_tracer_installer_project_root\deploy_suite.ps1","C:\development\forensic_suite_v2\deploy_suite.ps1","24/02/2026 5:49:09 AM","19/02/2026 6:32:29 PM","3072","5531","AB949ECF11F3A2DBEE57ECE65C3A70E11F4908D5F457FB0A3ACAC4613F413399","01CBBA0B4A4BBEF5A8862184C4D1CB44876A01D4CEFDD20DE95922E7FDDD8ED5"
"DEVELOPER_ONBOARDING.md","True","True","C:\development\forensic_tracer_installer_project_root\DEVELOPER_ONBOARDING.md","C:\development\forensic_suite_v2\DEVELOPER_ONBOARDING.md","23/02/2026 12:32:44 PM","19/02/2026 2:56:39 AM","1627","1717","C5556744B4BDA3E56D436474124C9DE0FB1228BA3967C3D596C22703E8FBED8A","6DB0B001F6F6A160F5FB44B5322AE5A59034E0D4576FACA3D936DE8B8EC64A9B"
"Disable-Debug.ps1","True","False","C:\development\forensic_tracer_installer_project_root\Disable-Debug.ps1",,"23/02/2026 12:32:44 PM",,"1087",,"B5CDDF965174C5B8815528EF77839DC3C9BFF4403EC1C97B0FDFC5185C700527",
"dist\forensic_suite_v2-0.1.2-py3-none-any.whl","True","False","C:\development\forensic_tracer_installer_project_root\dist\forensic_suite_v2-0.1.2-py3-none-any.whl",,"26/02/2026 12:43:06 PM",,"1571108",,"58C799BA3FB183F73E8148E72EDB1431BADDDFC17D7DBC7C528FA0A5EB9138AB",
"dist\forensic_suite_v2-0.1.2.tar.gz","True","False","C:\development\forensic_tracer_installer_project_root\dist\forensic_suite_v2-0.1.2.tar.gz",,"26/02/2026 12:42:57 PM",,"1526679",,"6FD8C5216C0004E339F66F94EB5F97D901ACC89334D61115DFEB9BA0567608EF",
"dot_env.template","True","False","C:\development\forensic_tracer_installer_project_root\dot_env.template",,"23/02/2026 8:11:00 PM",,"403",,"F861E66B579519BEFEEE9E2B68D881F7C64F167854FB8F26D0DF906F2D07D894",
"env.json","True","False","C:\development\forensic_tracer_installer_project_root\env.json",,"25/02/2026 5:09:48 PM",,"1307",,"77E3D1B1FE18AAD146403ECB54B2241D5CDB978D308C3889CA606A1B1E55A62F",
"env.template.json","True","False","C:\development\forensic_tracer_installer_project_root\env.template.json",,"23/02/2026 6:24:46 PM",,"466",,"0CD51852A333EF1C00793584635A09E3645D23774EA2920438C1FFD8BAE6F842",
"Final_Authoritative_Folder_Tree_—_Target_Machine_After_Installation.md","True","False","C:\development\forensic_tracer_installer_project_root\Final_Authoritative_Folder_Tree_—_Target_Machine_After_Installation.md",,"24/02/2026 2:00:25 PM",,"5087",,"57CF0F6DEA7DF0A838596B2D6582E8D65E7136370267D54A0464302CDFC56AD8",
"Fix-Imports.ps1","True","False","C:\development\forensic_tracer_installer_project_root\Fix-Imports.ps1",,"23/02/2026 12:32:44 PM",,"2012",,"2185BD01E58BD1A5EBDD1129EDFB511C29B1279A0DF164DEC70511F01F21BC46",
"forensic_suite_development_folder_tree.txt","True","False","C:\development\forensic_tracer_installer_project_root\forensic_suite_development_folder_tree.txt",,"23/02/2026 12:32:44 PM",,"2732",,"84DCCA365E91DE044A23EC2018006C0C992933A567E878622AF2158C463A6D21",
"forensic_suite_v2.egg-info\dependency_links.txt","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2.egg-info\dependency_links.txt","C:\development\forensic_suite_v2\forensic_suite_v2.egg-info\dependency_links.txt","27/02/2026 9:13:37 AM","19/02/2026 4:18:18 AM","1","1","01BA4719C80B6FE911B091A7C05124B64EEECE964E09C058EF8F9805DACA546B","01BA4719C80B6FE911B091A7C05124B64EEECE964E09C058EF8F9805DACA546B"
"forensic_suite_v2.egg-info\entry_points.txt","True","False","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2.egg-info\entry_points.txt",,"27/02/2026 9:13:37 AM",,"832",,"99D1725215BBC4655A1E939ED49919B43CAC3635063E8A22F2244A7AD099E98B",
"forensic_suite_v2.egg-info\PKG-INFO","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2.egg-info\PKG-INFO","C:\development\forensic_suite_v2\forensic_suite_v2.egg-info\PKG-INFO","27/02/2026 9:13:37 AM","19/02/2026 4:18:18 AM","2813","2517","0854FB94F3E310E7D924E519ED33259C5C19D95865EC8D9D5FE07D5941762590","B29517BCCDD7E75086EF6709D7F5C708EB16398371CF773F59376C6AEE391865"
"forensic_suite_v2.egg-info\requires.txt","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2.egg-info\requires.txt","C:\development\forensic_suite_v2\forensic_suite_v2.egg-info\requires.txt","27/02/2026 9:13:37 AM","19/02/2026 4:18:18 AM","222","82","F0E86AEF603B2A9AAB8909018904C9DBD8D44532F433995797FEEE93DCF9F29C","7DD4F0E95FC56CDB01630E9E06A979A2D3FA16A504181EF6B2E8908FC2BD189F"
"forensic_suite_v2.egg-info\SOURCES.txt","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2.egg-info\SOURCES.txt","C:\development\forensic_suite_v2\forensic_suite_v2.egg-info\SOURCES.txt","27/02/2026 9:13:37 AM","19/02/2026 4:24:48 AM","4683","1534","719007C0F615566F5021DAE7535AF74E637EE320117ABA40A025F40CBE83ACE0","BA232196F15896320F1BD4BC01CAF44CA94A0490EC1B9E0DCBEA4516E6E74C15"
"forensic_suite_v2.egg-info\top_level.txt","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2.egg-info\top_level.txt","C:\development\forensic_suite_v2\forensic_suite_v2.egg-info\top_level.txt","27/02/2026 9:13:37 AM","19/02/2026 4:18:18 AM","18","107","AFAD5CEE48998617D3788CD9CCBB3754C6E0F2A284F657837917B7C13F43808E","B4F0F4BF2A68A084FEE682706F07D497462DE59480DFDD76DC284D0163EBC35A"
"forensic_suite_v2\__init__.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\__init__.py","C:\development\forensic_suite_v2\forensic_suite_v2\__init__.py","23/02/2026 12:32:44 PM","23/02/2026 12:32:44 PM","667","667","E4E31745B495860564317F27E650D7B7ADA101CC8AD2DCE2713D493B5A9440A5","E4E31745B495860564317F27E650D7B7ADA101CC8AD2DCE2713D493B5A9440A5"
"forensic_suite_v2\__pycache__\__init__.cpython-311.pyc","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\__pycache__\__init__.cpython-311.pyc","C:\development\forensic_suite_v2\forensic_suite_v2\__pycache__\__init__.cpython-311.pyc","23/02/2026 7:43:34 PM","23/02/2026 7:43:34 PM","964","964","E9695BA2EE2DCC86BFB6EC9D70791DC58CD833B1683162786E4F5593EBD32B1D","E9695BA2EE2DCC86BFB6EC9D70791DC58CD833B1683162786E4F5593EBD32B1D"
"forensic_suite_v2\btc_indexer\__init__.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\btc_indexer\__init__.py","C:\development\forensic_suite_v2\forensic_suite_v2\btc_indexer\__init__.py","23/02/2026 12:32:44 PM","23/02/2026 12:32:44 PM","0","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"forensic_suite_v2\btc_indexer\__pycache__\__init__.cpython-311.pyc","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\btc_indexer\__pycache__\__init__.cpython-311.pyc","C:\development\forensic_suite_v2\forensic_suite_v2\btc_indexer\__pycache__\__init__.cpython-311.pyc","23/02/2026 7:43:35 PM","23/02/2026 7:43:35 PM","204","204","21E984CF4C96DB7AA4CBA78807E17B01327A3DE4DB3C0CD3E9A28408882BFF93","21E984CF4C96DB7AA4CBA78807E17B01327A3DE4DB3C0CD3E9A28408882BFF93"
"forensic_suite_v2\btc_indexer\config\__init__.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\btc_indexer\config\__init__.py","C:\development\forensic_suite_v2\forensic_suite_v2\btc_indexer\config\__init__.py","23/02/2026 12:32:44 PM","23/02/2026 12:32:44 PM","0","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"forensic_suite_v2\btc_indexer\config\__pycache__\__init__.cpython-311.pyc","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\btc_indexer\config\__pycache__\__init__.cpython-311.pyc","C:\development\forensic_suite_v2\forensic_suite_v2\btc_indexer\config\__pycache__\__init__.cpython-311.pyc","23/02/2026 7:43:36 PM","23/02/2026 7:43:36 PM","211","211","89E4B6B1CE783FA893E07E1DD9A92F1B2ED29FD795D334F44889581811E72974","89E4B6B1CE783FA893E07E1DD9A92F1B2ED29FD795D334F44889581811E72974"
"forensic_suite_v2\btc_indexer\config\indexer.yaml","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\btc_indexer\config\indexer.yaml","C:\development\forensic_suite_v2\forensic_suite_v2\btc_indexer\config\indexer.yaml","23/02/2026 12:32:44 PM","23/02/2026 12:32:44 PM","908","908","B13CBB766597945264E5FDF1CC677F4AC14F994B460C3CD066A1AAD62EB3C7E1","B13CBB766597945264E5FDF1CC677F4AC14F994B460C3CD066A1AAD62EB3C7E1"
"forensic_suite_v2\btc_indexer\dashboard\__init__.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\btc_indexer\dashboard\__init__.py","C:\development\forensic_suite_v2\forensic_suite_v2\btc_indexer\dashboard\__init__.py","23/02/2026 12:32:44 PM","23/02/2026 12:32:44 PM","0","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"forensic_suite_v2\btc_indexer\dashboard\__pycache__\__init__.cpython-311.pyc","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\btc_indexer\dashboard\__pycache__\__init__.cpython-311.pyc","C:\development\forensic_suite_v2\forensic_suite_v2\btc_indexer\dashboard\__pycache__\__init__.cpython-311.pyc","23/02/2026 7:43:36 PM","23/02/2026 7:43:36 PM","214","214","443556F35EA7C0BBAA1DF243ADEC6E28D43069D3F7991EDFF107CBA378DDCCFD","443556F35EA7C0BBAA1DF243ADEC6E28D43069D3F7991EDFF107CBA378DDCCFD"
"forensic_suite_v2\btc_indexer\dashboard\__pycache__\btc_dashboard.cpython-311.pyc","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\btc_indexer\dashboard\__pycache__\btc_dashboard.cpython-311.pyc","C:\development\forensic_suite_v2\forensic_suite_v2\btc_indexer\dashboard\__pycache__\btc_dashboard.cpython-311.pyc","23/02/2026 7:43:36 PM","23/02/2026 7:43:36 PM","6389","6389","1639259E16AA559C903017B1F58CE8AC0318A12622273031B3037816DC0AE945","1639259E16AA559C903017B1F58CE8AC0318A12622273031B3037816DC0AE945"
"forensic_suite_v2\btc_indexer\dashboard\btc_dashboard.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\btc_indexer\dashboard\btc_dashboard.py","C:\development\forensic_suite_v2\forensic_suite_v2\btc_indexer\dashboard\btc_dashboard.py","23/02/2026 12:32:44 PM","23/02/2026 12:32:44 PM","3521","3521","2FACF28053580747105C3175687695836B77961C952C6A90C95621A693DB0EC3","2FACF28053580747105C3175687695836B77961C952C6A90C95621A693DB0EC3"
"forensic_suite_v2\btc_indexer\services\__pycache__\btc_indexer_service.cpython-311.pyc","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\btc_indexer\services\__pycache__\btc_indexer_service.cpython-311.pyc","C:\development\forensic_suite_v2\forensic_suite_v2\btc_indexer\services\__pycache__\btc_indexer_service.cpython-311.pyc","23/02/2026 7:43:35 PM","23/02/2026 7:43:35 PM","2726","2726","F8CE2976E804A37EEC6715DCEC100A2BF0530EAA0C1C8BFD88CBF2F012504965","F8CE2976E804A37EEC6715DCEC100A2BF0530EAA0C1C8BFD88CBF2F012504965"
"forensic_suite_v2\btc_indexer\services\__pycache__\run_btc_indexer_v2.cpython-311.pyc","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\btc_indexer\services\__pycache__\run_btc_indexer_v2.cpython-311.pyc","C:\development\forensic_suite_v2\forensic_suite_v2\btc_indexer\services\__pycache__\run_btc_indexer_v2.cpython-311.pyc","23/02/2026 8:30:56 PM","23/02/2026 8:30:56 PM","2851","2851","DA6AAE80A7530F910F620CEFE5D1FF743CF501D663749066B0D2ACFEFEA8C8A5","DA6AAE80A7530F910F620CEFE5D1FF743CF501D663749066B0D2ACFEFEA8C8A5"
"forensic_suite_v2\btc_indexer\services\block_scanner.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\btc_indexer\services\block_scanner.py","C:\development\forensic_suite_v2\forensic_suite_v2\btc_indexer\services\block_scanner.py","23/02/2026 12:32:44 PM","23/02/2026 12:32:44 PM","438","438","1FCC70E899FBA98DDBEE2FEA2A993BA2362D1B0E31F531C405CAE94F16361161","1FCC70E899FBA98DDBEE2FEA2A993BA2362D1B0E31F531C405CAE94F16361161"
"forensic_suite_v2\btc_indexer\services\btc_indexer_service.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\btc_indexer\services\btc_indexer_service.py","C:\development\forensic_suite_v2\forensic_suite_v2\btc_indexer\services\btc_indexer_service.py","23/02/2026 12:32:44 PM","23/02/2026 12:32:44 PM","977","977","2080BD7FA8F6E4B26D82B2C629B0CE302FC6D60C4F640116ACB6C5B5A45050F3","2080BD7FA8F6E4B26D82B2C629B0CE302FC6D60C4F640116ACB6C5B5A45050F3"
"forensic_suite_v2\btc_indexer\services\checkpoint.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\btc_indexer\services\checkpoint.py","C:\development\forensic_suite_v2\forensic_suite_v2\btc_indexer\services\checkpoint.py","23/02/2026 12:32:44 PM","23/02/2026 12:32:44 PM","698","698","918ED655B7A6244ED0A411D58066BBD888A03615A38F5CE9253488F5E32833AE","918ED655B7A6244ED0A411D58066BBD888A03615A38F5CE9253488F5E32833AE"
"forensic_suite_v2\btc_indexer\services\db_writer.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\btc_indexer\services\db_writer.py","C:\development\forensic_suite_v2\forensic_suite_v2\btc_indexer\services\db_writer.py","23/02/2026 12:32:44 PM","23/02/2026 12:32:44 PM","415","415","4E86F7827A77C944325B43F94F7752988D436A2666A7559D47182B58345BE590","4E86F7827A77C944325B43F94F7752988D436A2666A7559D47182B58345BE590"
"forensic_suite_v2\btc_indexer\services\receipt_worker.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\btc_indexer\services\receipt_worker.py","C:\development\forensic_suite_v2\forensic_suite_v2\btc_indexer\services\receipt_worker.py","23/02/2026 12:32:44 PM","23/02/2026 12:32:44 PM","249","249","A274B0DA3E555CD1986C1D0523B2C8097B81536EC63BD1CFF20E9832078AD7F0","A274B0DA3E555CD1986C1D0523B2C8097B81536EC63BD1CFF20E9832078AD7F0"
"forensic_suite_v2\btc_indexer\services\reorg_detector.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\btc_indexer\services\reorg_detector.py","C:\development\forensic_suite_v2\forensic_suite_v2\btc_indexer\services\reorg_detector.py","23/02/2026 12:32:44 PM","23/02/2026 12:32:44 PM","156","156","4491A8D8384B1C91BE8649DB5FF9C3D9F7E4C9FB2C509F9B3A37798BF857C749","4491A8D8384B1C91BE8649DB5FF9C3D9F7E4C9FB2C509F9B3A37798BF857C749"
"forensic_suite_v2\btc_indexer\services\run_btc_indexer_v2.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\btc_indexer\services\run_btc_indexer_v2.py","C:\development\forensic_suite_v2\forensic_suite_v2\btc_indexer\services\run_btc_indexer_v2.py","24/02/2026 5:59:35 PM","24/02/2026 5:59:35 PM","1465","1465","A9E9ADC043BA7F142F4B4A234462A923B8D0B55C4776E5924E54A58374CB298F","A9E9ADC043BA7F142F4B4A234462A923B8D0B55C4776E5924E54A58374CB298F"
"forensic_suite_v2\build.ps1","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\build.ps1","C:\development\forensic_suite_v2\forensic_suite_v2\build.ps1","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","358","358","BFD9C7C7FD4AD52B0771BD28E3B7E426BFD66877D0CA4364BDC9D914A173B9E8","BFD9C7C7FD4AD52B0771BD28E3B7E426BFD66877D0CA4364BDC9D914A173B9E8"
"forensic_suite_v2\cli\__init__.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\cli\__init__.py","C:\development\forensic_suite_v2\forensic_suite_v2\cli\__init__.py","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","0","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"forensic_suite_v2\cli\__main__.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\cli\__main__.py","C:\development\forensic_suite_v2\forensic_suite_v2\cli\__main__.py","24/02/2026 1:32:58 PM","24/02/2026 1:32:58 PM","3392","3392","563D0FDB9CBEE4101F0EF678D4F5C1C63F37722DE3B62F9031147B45C41FD52A","563D0FDB9CBEE4101F0EF678D4F5C1C63F37722DE3B62F9031147B45C41FD52A"
"forensic_suite_v2\cli\__pycache__\__init__.cpython-311.pyc","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\cli\__pycache__\__init__.cpython-311.pyc","C:\development\forensic_suite_v2\forensic_suite_v2\cli\__pycache__\__init__.cpython-311.pyc","23/02/2026 7:43:36 PM","23/02/2026 7:43:36 PM","196","196","17508FF324A5543B574C52B76EDA55FBB7858B8B5AE0C8696AE2B0AD7FB49A64","17508FF324A5543B574C52B76EDA55FBB7858B8B5AE0C8696AE2B0AD7FB49A64"
"forensic_suite_v2\cli\__pycache__\__main__.cpython-311.pyc","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\cli\__pycache__\__main__.cpython-311.pyc","C:\development\forensic_suite_v2\forensic_suite_v2\cli\__pycache__\__main__.cpython-311.pyc","23/02/2026 7:43:36 PM","23/02/2026 7:43:36 PM","4719","4719","C39D1DCFE8BEC8395A8C1A66EA9B89FBCD0D5E80887CDF9E2C2D0D8BB5872208","C39D1DCFE8BEC8395A8C1A66EA9B89FBCD0D5E80887CDF9E2C2D0D8BB5872208"
"forensic_suite_v2\cli\__pycache__\trace.cpython-311.pyc","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\cli\__pycache__\trace.cpython-311.pyc","C:\development\forensic_suite_v2\forensic_suite_v2\cli\__pycache__\trace.cpython-311.pyc","23/02/2026 7:43:36 PM","23/02/2026 7:43:36 PM","4716","4716","8BDDEE53B46473B43EAC86701C8578D173AFE6ABCC8F3F517BFA197BFE8E4212","8BDDEE53B46473B43EAC86701C8578D173AFE6ABCC8F3F517BFA197BFE8E4212"
"forensic_suite_v2\cli\trace.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\cli\trace.py","C:\development\forensic_suite_v2\forensic_suite_v2\cli\trace.py","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","2898","2898","DE0CA9F3F56A200CCA52C4733DB836A72CE702FEAC724BB21B9CE98C141A183F","DE0CA9F3F56A200CCA52C4733DB836A72CE702FEAC724BB21B9CE98C141A183F"
"forensic_suite_v2\config\__init__.py","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\config\__init__.py","C:\development\forensic_suite_v2\forensic_suite_v2\config\__init__.py","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","0","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"forensic_suite_v2\config\__pycache__\__init__.cpython-311.pyc","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\config\__pycache__\__init__.cpython-311.pyc","C:\development\forensic_suite_v2\forensic_suite_v2\config\__pycache__\__init__.cpython-311.pyc","23/02/2026 7:43:36 PM","23/02/2026 7:43:36 PM","199","199","D27AA0E90F4A296D9225746A1D27F97558C6449CA03D8A5ED507FF75A26F9E91","D27AA0E90F4A296D9225746A1D27F97558C6449CA03D8A5ED507FF75A26F9E91"
"forensic_suite_v2\config\indexer.yaml","True","True","C:\development\forensic_tracer_installer_project_root\forensic_suite_v2\config\indexer.yaml","C:\development\forensic_suite_v2\forensic_suite_v2\config\indexer.yaml","23/02/2026 12:32:45 PM","23/02/2026 12:32:45 PM","1160","1160","8C52AD47D61F2CBC124B32F9395DDE237C3D1D259DA6490C1D462055C9F01E07","8C52AD47D61F2CBC124B32F9395DDE237C3D1D259DA6490C1D462055C9F01E07"
